uid,Text,DV_present,Abuse_present,Sentiment,Hashtags,
27,"4. ""Lockdown mein moti ho gayi ho, aise kaun shaadi karega?""
5. ""Ghar pe itni short shorts Matt pehna karo, bhai bhi hai""
6. ""Delhi tak official trips pe akele gaadi lekar nahi jana, kuch bhi ho sakta hai.""
#sexism
#patriarchy",Negative,OFF,Negative,"#sexism
#patriarchy",
28,"7. ""Har baat pe argue kyu karne lagti ho, aage k ghar walon ko yeh acha nai lagega.""
8. ""Badon ki izzat karo, vo experienced hain, tumhara acha hi chahte hain.""
9. ""Khana tum banao na, yeh Mera kam nahi hai.""
#Feminism 
#WomenOfCourage 
#womenempowerment 
#Womensutra",Negative,OFF,Negative,"#Feminism 
#WomenOfCourage 
#womenempowerment 
#Womensutra",
29,"Kya ajab chutiya aadmi. Matlab daru piyoge to abuse jhelna padega, ye to deal pakki hai. Kahan kahan se chale aate hain. #ramgopalverma #sexism #wtf",Positive,OFF,Negative,#ramgopalverma #sexism #wtf,
30,"If you love a girl: ""Mujhe yeh ladki chahiye kyunki mujhe iske saath zindagi beetani hai"". If you have lust on a girl: ""Bhai, bistar garam karne ke liye bas yeh laundiya mil jaaye"". #sexism #leftistan  @AuratMarchKHI #AuratMarch2020 #AuratAzadiMarch2020",Positive,OFF,Negative,"#sexism #leftistan 
@AuratMarchKHI
 #AuratMarch2020 #AuratAzadiMarch2020",
31,Leaving costs money; many survivors do not have the financial means to leave the abusive relationship!  It’s important to support agencies that can provide shelter to survivors fleeing abusive relationships. It’s on all of us to #SupportSurvivors #WhyIStayed #DomesticViolence,Negative,NOT,Neutral,"#SupportSurvivors
#WhyIStayed #DomesticViolence",
32,Happy divorceaversary to me!!! 1 year ago I thought I was experiencing the worst thing that would ever happen to me. Turns out it was the best bc it got me away from an abusive toxic human who had me so controlled I couldn't even see it. #survivorspeaks #loveshouldnthurt,Negative,NOT,Positive,#survivorspeaks #loveshouldnthurt,
33,"In honor of #DomesticViolenceAwarenessMonth, I'll be posting daily, things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018  1. ""Why do you care if I listen in on your phone conversations or read your mail? What are you trying to hide from me?!""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
34,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018  30. ""I checked the odometer before you left. I know you're lying to me about where you went.""",Negative,NOT,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
35,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 23. ""You're crazy! No one will believe you!""",Negative,NOT,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
36,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 28. ""If you leave me, I'll make sure you end up with nothing.""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
37,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 26. ""You need to put on weight. You have the hips of a teenage boy."" *I was the same weight/shape as when we married - it was about control*",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
38,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 25. ""Quit writing negative things about me in your journal!"" * My journal was private/hidden. He said the same thing about my poetry. I quit writing.",Negative,NOT,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
39,"For #DomesticViolenceAwarenessMonth, I'm posting daily, things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018  5. ""Do you know how lucky you are to be married to me?! Do you know how many women would kill to be in your place?!""",Negative,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
40,"For #DomesticViolenceAwarenessMonth, I'm posting daily, things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 *after being offered a job at an upscale boutique* 4. ""You can't have another job! Your job is here taking care of the house, me and the kids!""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
41,"For #DomesticViolenceAwarenessMonth, I'm posting daily, things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018   6. ""I wouldn't have hit you if you hadn't gotten in my face!""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
42,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018   9. ""I wouldn't get upset, if I didn't love you.""",Negative,NOT,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
43,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 11. ""Next time you leave me it will be in a body bag.""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
44,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 15. ""You're not seeing things clearly, because of your depression.""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
45,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 29. ""You can't rape your wife.""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
46,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 14. ""I never said that. You hear what you want to hear.""",Positive,NOT,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
47,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 24. ""Quit crying! I barely touched you!""",Positive,OFF,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
48,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 12. ""You're too sensitive.""",Positive,NOT,Negative,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
49,"For #DomesticViolenceAwarenessMonth, I'm posting daily; things my abusive ex used to say to me: #SurvivorSpeaks #DVAM2018 20. ""I don't want to live, if I'm not with you and the kids.""",Negative,NOT,Positive,#DomesticViolenceAwarenessMonth#SurvivorSpeaks #DVAM2018,
50,"Hey guys, I wanted to share with everyone, even those I have yet to meet (hey!) a tragedy that has happened recently in my family. Not to spread negativity or to make you frown along with the weather today but to shed light on #DomesticViolence #DomesticViolenceAwarenessMonth",Negative,NOT,Negative,,
51,My cousin Samantha was shot 5 times by her ex-boyfriend who then committed suicide after.  She is still clinging to the hospital beds at the ICU but showing fast improvement!!!!! God is goodFolded hands and won’t he do it. My baby is alive and strong.,Positive,OFF,Negative,,
52,"She currently can only show facial expressions and move her arms, other than that my baby girl can not feel her legs or walk, she cannot speak, and she cannot breathe on her own still..but we will continue to pray everyday, I encourage everyone to do so as well, please",Negative,NOT,Negative,,
53,"Intimate partner violence doesn’t just affect adults, but also any children that are exposed to violence. Studies show that children who have witnessed #DomesticViolence have trauma similar to that of a soldier who has witnessed war.  #DomesticViolenceAwarenessMonth",Negative,NOT,Neutral,,
54,"#SurvivorSpeaks I escaped 2 abusive marriages. It wasn't easy but I did it. Started over, twice. 
You are not alone. Reach out if you need to and any moment you are able to safely. 
#DVWARRIOR",Positive,NOT,Positive,#SurvivorSpeaks #DVWARRIOR,
55,BC when a #SurvivorSpeaks we get a better idea of what control tactics look like. Patricia* tells about the text messages she would receive from her abuser demanding to know where she was. She says the impact on her schooling & work was overwhelming. #DVAM2018,Positive,NOT,Positive,#SurvivorSpeaks #DVAM2018,
56,"#SurvivorSpeaks: “He’s conditioned her into ignoring his flaws, trapped her into codependency, and tricked her into thinking it was all her idea.” #domesticviolence #dvam",Positive,NOT,Negative,#SurvivorSpeaks #domesticviolence #dvam,
57,"didn't 'just' survive an abusive relationship, I became a warrior because of it & I'll stand for those who don't have the strength 'til the day I don't wake up again.",Positive,NOT,Positive,#dvwarrior,
58,"""The amount of shame and helplessness I felt was so palpable. It took over everything. I wasn’t good enough for him; I was stupid and he was smart."" Tamara shares her story with us",Positive,NOT,Negative,#SurvivorStory #btsadv #DVWarrior,
59,"come to think of it, I was quite shaken by the incident. And ""he"" never saw himself in the wrong. < How long ago",Positive,NOT,Negative,,#DVWarrior
60,"Domestic violence isn't just about broken ribs, blackened eyes, and busted lips ... Domestic violence is about a broken spirit, broken self-esteem, broken self-worth, broken self-dignity & broken human rights.",Negative,NOT,Neutral,#DVFacts #SurvivorSpeaks,
61,"I can’t express how terrifying and traumatic being abused to where you almost feel death is, it sadness me that many of us have gone through this. I pray that she recovers and heals from this. Domestic violence is real, and needs to be talked about more",Positive,NOT,Negative,#SurvivorSpeaks,
62,"It took me years to heal, years to not feel afraid of the shadows that haunted me. I am surviving my trauma. Today I share my truth with you. Unashamed, honest and raw.",Positive,NOT,Negative,#survivorspeaks #ptsd #survivor,
63,#IAmNotOk because a police officer told me spousal rape wasn't rape. And walked away and let my abuser walk back into our house.,Positive,OFF,Negative,,#IAmNotOk
64,#IAmNotOk just tonight. I'm having flashbacks. I hear his booming voice screaming at me. I see him throwing dishes and whatever he can throw. I'm scared and panicking. I know I'm safe...but when will I understand that?,Positive,OFF,Negative,,#IAmNotOk
65,"I’ve been out of my abusive relationship for over a year now and I still instantly put my head down and hands at my sides when anyone yells in front of me. Alot of people don’t understand that once you finally leave, you still have a long ways to go. #iamnotOK",Positive,NOT,Negative,#iamnotOK,
66,"My dad hit me in the face, chased me through our house, hit my head against a radiator, tackled me to the ground and sat on me, pinning me to the ground and continued attacking me. This was in the span of 10 minutes and incited by me... working on homework. #Iamnotok",Positive,OFF,Negative,#Iamnotok,
67,I came home and was choked and kicked and tied up because I was “accused” of cheating. All I did was pick my drunk mother up from the casino cause she couldn’t drive home... #iamnotok #IAmNotOk,Positive,OFF,Negative,#Iamnotok,
68,#IAmNotOk because it’s been nearly two years since I was sexually assaulted on a night out and I still think about it everyday - I suffered PTSD and dropped out of uni whilst my attacker most likely lives his life guilt free,Positive,OFF,Negative,,
69,It has been happening to all the women in my family for more than 5 generations. Not anymore. And I am changing it for my daughters. Pt 2 #iamnotok,Negative,NOT,Positive,#iamnotok,
70,"I grew up in a home with domestic violence and i vowed no man would ever raise his hand to me.see, i was waiting for him to raise his hand when he made me feel unpretty, he wouldn’t hold my hand in public, in a long distance relationship,refused phone calls over 5minutes long",Positive,NOT,Negative,,
71,"Never a single compliment on anything I did, never appreciation...I was waiting for him to raise his hand to me because that’s the abuse I recognized, that I didn’t see him tear me up inside and #IAmNotOk with that",Positive,NOT,Negative,,
72,"#IAmNotOk because I normalized my abuser’s bad behavior. He often made up offensive aggressive lies about other women. He’d only stop if I agreed. He tried to distance me from my healthy female friendships. He was sure they were all crazy, jealous, unstable cunts who wanted him.",Positive,OFF,Negative,,
73,"As I hear people’s #iamnotok stories of domestic violence I remember my sexual exploitation. Men controlled, beat, and violated me and I did not have a voice to cry out. ",Positive,OFF,Negative,,
74,"My classmate #TiannaBaker was shot and killed Wednesday, March 24th 2021 by her ex boyfriend in a act of domestic violence. You were only 19year old and so beautiful. You were the sweetest girl ever. You did not deserve this. RIP TiannaBroken heart #StLouis",Positive,OFF,Negative,#domesticviolence,
75,Say know to this act.. #against #Domestic #violence,Negative,NOT,Positive,#domesticviolence,
76,Your voice is your superpower and no one should be able to take it away from you. #feldsteinfamilylaw #familylaw #familylawyer #divorcelawyer #divorce #speakyourtruth #positivemindset #divorcesupport #highconflictdivorce #narcissists #narcissisticabuse #toxicrelationships https://t.co/Uwmae0Y2Cs,Negative,NOT,Positive,#feldsteinfamilylaw #familylaw #familylawyer #divorcelawyer #divorce #speakyourtruth #positivemindset #divorcesupport #highconflictdivorce #narcissists #narcissisticabuse #toxicrelationships,
77,many people are going through #domestic & #gender based violence but are afraid to speak out so be your brothers keeper and stand up for such a person in our communities for a better community for all ,Negative,NOT,Negative,#domesticviolence #domestic #gender,
78,"""If I'm a woman ( in #scientology ) & my husband beats the crap out of me, I can't call the cops. Not b/c of issues with a being a woman reporting #DomesticViolence",Positive,OFF,Negative,#DomesticViolence #domestic #scientology,
79,"Deshaun Watson is the topic of every morning sports show, yet Chad Wheeler's attempted murder of his GF gets swept under the rug.. #MeToo has made it clear which type of men they're going after",Positive,OFF,Negative,#MeToo #domesticviolence,
80,"As a woman who has been sexually harassed in every job I've ever had, I feel physically sick at Salmond standing for election #MeToo",Positive,OFF,Negative,#MeToo #domesticviolence,
81,"Sudan is unsafe, unjust & unfair for women Flag of Sudan #MeTooSudan #MeToo",Negative,NOT,Negative,#MeToo #domesticviolence #MetooSudan,
82,"This is what happens with girls/women on traveling alone to Pakistan. The first harassment they face at immigration and then the process continues. This FIA officer harassed a 15 year old at Karachi airport, who was traveling alone from Bahrain to Pakistan. #MeToo",Positive,OFF,Negative,#MeToo,
83,#wednesdaythought #Metoo #Wednesdayvibe #auspoI #WednesdayMotivation #MotivationalQuotes #motivation Respecting gender is an old and obsolete concept..Respect person and not her gender. I can't respect a bad person because of her or his gender.,Negative,NOT,Positive,#wednesdaythought #Metoo #Wednesdayvibe #auspoI #WednesdayMotivation #MotivationalQuotes #motivation ,
84,"This rapist sexually assaulted ANOTHER woman prior to this case in 2017, and the white run court systems was on code with him then, and dismissed those charges.",Positive,OFF,Negative,#MeToo #domesticviolence,
85,"We are raising awareness on Sexual Harassment. In line with it, we are coming up with a campaign video. We are looking for people who would be interested in sharing their experiences to spread awareness! Get in touch with us! #EnKathai #MeToo #LottuLosku #VerraKathaigal",Negative,NOT,Positive,#EnKathai #MeToo #LottuLosku #VerraKathaigal,
86,"I was raped three times in the 70s, and up until the #MeToo movement blamed myself for not being able to fight them off.",Positive,NOT,Negative,#MeToo,
87,"Then he forces her to drink until she's legally drunk (0.08), thus nullifying the rape!"" What the fuck were they thinking of when their State Supreme Court ruled in favor of the most heinous act to woman, little girl, can be done.! #MeToo",Positive,OFF,Negative,#MeToo #domesticviolence,
88,"He would always have to explain to society that he was found not guilty of the sexual harassment or assault charges. In the eyes of many, that doesn’t signify innocence; some might even blame the system for ""allowing him to get away with it"".",Negative,OFF,Negative,#MeToo,
89,"Okay here I go, I got dateraped when I was 18, there wasen’t a word for it 30 years ago so I thought it was my fault #metoo",Positive,OFF,Neutral,#MeToo ,
90,"Women have been fighting for years on end for an equal place in this society, but no one is listening or doing anything about the level of sexual abuse, harassment and violence that we have to endure on a daily basis. It feels NORMAL for me to be scared to go shopping, walk down the street to a friend's house, walk to work in the dark, or simply exist. It's automatic for me to carry keys in my hand, stay on the phone to someone, make up a fake phone call because my heart is going 100mph in fear of being assaulted, followed, harassed and... MURDERED. ",Positive,OFF,Negative,#MeToo,
91,"Police officer 'failed to investigate' murder victim's reports of #DomesticAbuse. Linda Vilika made reports to the police about her husband threatening her. 8 days later, her husband murdered her. The police officer has just been given a written warning.",Positive,OFF,Negative,#DomesticAbuse,
92,"""He controlled what I wore, what I ate and drank, who I saw, who I spoke to, my social media, my telephone, our bank accounts, my credit card. He controlled how much sleep I had."" — Survivor of #EconomicAbuse.",Positive,OFF,Negative,#DomesticAbuse #EconomicAbuse,
93,"Plasterer fixes homes of #domesticabuse survivors for free. Naima Ben-Moussa has crowdfunded thousands of pounds to pay for life-changing renovations. Having suffered abuse as a child, she said she ""understood"" what victims had gone through.",Negative,NOT,Positive,#domesticabuse,
94,"Public memory especially among #Kashmiri people tends to be fragile. It is easier to forget than to remember .We might choose to push the memories into dark corners of our mind, but the survivors have no choice. It can be me, you , our  sisters, mothers anybody.  #DomesticAbuse",negative,OFF,Neutral,#DomesticAbuse,
95,"Many children who are repeatedly abused sexually may have no clear memory of these experiences, while some may prefer not to remember. Denial, dissociation, and repression allow children to go on living life with the illusion of normalcy,  Down pointing backhand index #rape #sexualabuse #mentalhealth",Negative,OFF,Neutral,#rape #sexualabuse #mentalhealth,
96,"At 13, I was enslaved by my uncle. Now, I make sure survivors of modern slavery get a voice - Sophie Otiende Kenyan teacher, feminist, and human trafficking survivor advocate.",Positive,OFF,Negative,#sexualabuse,
97,"All my life, I have lived in a big, joint family. When I was a little child around 6 or 7 year old,I used to live with my paternal grandparents and I was very close to my grandpa.We used to play a lot of games together. He would also read me stories and bring me gifts. One day something happened which changed our relationship altogether.I was sitting there with him watching movie and he tried to glide his hands under my top and said that he wanted to kiss my breast.I was 6 and I didn’t understand any of it and I took it all in a good way and let him do that. He grabbed my breast and sat there for like 10-15 mins and asked me to not tell anyone about this.",Positive,OFF,Negative,#ChildSexualAbuse #Abuse #Childhood #ChildhoodStories #DysfunctionalFamily,
98,Yesterday a #customer told me he felt like I raped him because he had to pay $3 for a loaf of bread. I can't stop thinking about how trivial men think rape is. This hurt me. I tried to pass it off as a joke but it keeps running through my head. #retailproblems #rapesurvivor,Positive,OFF,Neutral,#rapesurvivor,
99,"I feel the internal scars of psychological abuse are worse & longer lasting than the physical. There needs to be mandatory training in #DomesticAbuse & #coercivecontrol by all involved in FC from the GALs to “experts” SW’s, lawyers etc or abusers will continue to get away with it",Negative,OFF,Neutral,#DomesticViolence,
100,I’ve been hit by the rugby bus! Haven’t felt this sore in a while #beatenup #wrugby #physical #bumps #bruises lazy Sunday is needed,Negative,NOT,Neutral,#wrugby #physical #bumps #bruises #beatenup ,
101,"When women come to our refuges they feel guilty for ""what they're putting their kids through"". We work with them so they put the blame where it belongs, solely with the perpetrator of the abuse. #maleviolenceagainstwomen",Negative,OFF,Neutral,#maleviolenceagainstwomen,
102,"Women are blamed by the system for ""failing to protect"". Blamed by society for ""not leaving"". Its no wonder they feel misplaced guilt. Our specialist staff help them to understand it's not their fault. #domesticabuse",Negative,NOT,Negative,#domesticabuse,
103,"TW FOR DOMESTIC VIOLENCE want to give the biggest shoutout to my bff. My mother is a survivor of domestic violence. watching her get hit, black and blue.. permanent knee damage etc haunts me till this day, but not her. She’s the strongest woman I’ve ever met. I love you 4L #DVAM",Positive,OFF,Neutral,#DVAM,
104,#DVAM I’m a domestic abuse survivor. This means a lot to me. Trump has removed our protections. It endangers us. We deserve to feel safe. Please #VoteBiden #VoteEarly #VOTE #VoteBidenHarrisToSaveAmerica,Positive,NOT,Neutral,#DVAM #VoteBiden #VoteEarly #VOTE #VoteBidenHarrisToSaveAmerica,
105,Domestic violence victims are not ‘weak’ ‘trauma-bonded’ and ‘codependent’ - they are strong women appeasing their abuser while intelligently plotting a way to safety for themselves and their children all while being very aware of the risk they are facing #DVAM #respectsurvivors,Negative,NOT,Neutral,#DVAM #respectsurvivors,
106,"So many messages about domestic violence survivors are insulting - like they are just lovesick, spineless, and ignorant. They are not. Honor and respect survivor’s strengths, courage, intelligence, and the lengths they will go to protect their children.  #dvam #DVAM2020",Negative,NOT,Neutral,#dvam #DVAM2020,
107,"1 in 10 high school students has been purposefully hit, slapped or physically hurt by a boyfriend or girlfriend. #youngerthanyouthink #1thing #domesticviolence #datingviolence #sexualassault #sexualabuse #stalking #DVAM",Positive,OFF,Negative,#youngerthanyouthink #1thing #domesticviolence #datingviolence #sexualassault #sexualabuse #stalking #DVAM,
108,"4 in 10 young Australian men do not consider punching & hitting to constitute domestic violence, a survey finds. A similar proportion does not classify non-consensual sexual activity, degrading a person or isolating them from their friends as #DV. ",Positive,OFF,Negative,#DV #DVAM,
109,"The actions survivors of abuse take to survive and defend themselves often lead to criminalization. Their experience of domestic violence is often diminished, being viewed as a criminal to be punished instead of a survivor to be supported.#DVAM",Negative,NOT,Neutral,#DVAM,
110,"Abusive relationships often involve violence, isolation, fear and threats. These relationships often make you feel unsafe. Remember to reach out to emergency services if needed #DVAM #loveisrespect #TitleIXThursday",Positive,OFF,Negative,#DVAM #loveisrespect #TitleIXThursday,
111,"Unhealthy relationships begin to break down through lack of trust, support and respect of boundaries. Unhealthy relationships have the potential to turn abusive #DVAM #loveisrespect #TitleIXThursday",Negative,OFF,Negative, #DVAM #loveisrespect #TitleIXThursday,
112,"Dating violence is a pattern of coercive, intimidating, or manipulative behaviors used to exert power and control over another #DVAM #loveisrespect #TitleIXThursday",Positive,OFF,Negative,#DVAM #loveisrespect #TitleIXThursday,
113,"Dating violence is more common than people think it can include: physical, financial, emotional, verbal, and sexual abuse. In addition to digital abuse (use of technology like cellular devices and social media to abuse and control another) #DVAM #loveisrespect #TitleIXThursday",Positive,OFF,Negative,#DVAM #loveisrespect #TitleIXThursday,
114,"With DV awareness month ending, here’s a reminder that we should be just as attentive in every other month. Know the warning signs for urself and friends. Abusers come in all shapes and sizes. And just because they don’t have bruises, doesn’t mean they’re not being abused. #DVAM",Positive,OFF,Negative,#DVAM,
115,"""10 ago my husband said if I divorced him, he’d take custody of our kids + use my sexuality against me in court. His words paralyzed me, which is exactly the power of #CoerciveControl. ""We do not 'choose' to stay. ""We think we have no choice."" #DVAM",Positive,OFF,Negative,#DVAM,
116,"Sisters, a friendly reminder for life: immediately leave any man who thinks he owns your mind, body or your vote or uses religion to become your master in ANY WAY. Leave his stupid ass, you deserve better. Need Help? http://800.799.SAFE (7233). #DVAM",Negative,NOT,Neutral,#DVAM,
117,"“I don't think there is anything particularly wrong in hitting a woman, though I don't recommend you do it the same way that you hit a man.”- Sean Connery",Negative,NOT,Negative,,
118,"""An open-handed slap is justified – if all other alternatives fail and there has been plenty of warning. If a woman is a bitch, or hysterical, or bloody-minded continually, then I'd do it."" - Sean Connery",Positive,OFF,Negative,,
119,"""There are women who take it to the wire. That's what they are looking for, the ultimate confrontation. They want a smack."" - Sean Connery",Negative,OFF,Negative,,
120,It’s only fitting that #seanconnery should die on the last day of Domestic Violence Awareness Month. Let his death serve the interests of the the class of people he so disrespected. #women #dvam #DomesticViolence,Negative,NOT,Negative,#women #dvam #DomesticViolence,
121,"At seventeen, I got out of an abusive relationship. I want to say I haven’t looked back- but I have. It took a break up for me to realize what I had endured- emotional abuse. It’s taken time to heal. I’m still healing every day. But I have help and #YouveGotHelp too. Reach out",Positive,NOT,Negative,#YouveGotHelp,
122,"When we start to talk about the abuses we've been silently stewing in for generations, a language emerges - words & concepts to express what our instincts have been telling us. We gain power.",Positive,NOT,Negative,,
124,"One thing I needed to hear when I finally opened up about my abuse was that it wasn’t my fault. That I didn’t “let it happen to me.” I am smart, kind and caring. He used my kindness against me, he manipulated me daily - but it wasn’t my fault. #YouveGotHelp",Positive,NOT,Negative,#YouveGotHelp,
125,"Do you understand how detrimental that was to my mental health? How scared I was to trust again after? I just assumed it would always happen, after all I make good people do bad things. It took YEARS to break that train of thought and some days it lingers back in. #YouveGotHelp",Positive,NOT,Negative,#YouveGotHelp,
